epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3345,3.71001,12.3679,0.05851,2e-05,0.02222,1e-05,0,4.09529,13.1562,0.09258,0.0026,0.0026,0.0766
2,89.2862,3.67166,10.5011,0.05666,1e-05,0.01111,1e-05,0,4.04305,12.9998,0.09139,0.00528951,0.00528951,0.0522895
3,125.942,3.57025,8.69343,0.05559,7e-05,0.06809,5e-05,1e-05,3.82499,3.26999,0.08662,0.00796832,0.00796832,0.0279683
4,162.672,3.31843,6.47025,0.05243,0.00147,0.15653,0.00097,0.00022,nan,nan,nan,0.0099406,0.0099406,0.0099406
5,218.763,2.96631,4.67853,0.0469,0,0,0,0,nan,nan,nan,0.0099208,0.0099208,0.0099208
6,289.987,2.71667,3.99897,0.04247,0.00588,0.01971,0.0015,0.00058,3.18206,8.9248,0.09022,0.009901,0.009901,0.009901
7,354.501,2.47628,3.64953,0.03706,0.2638,0.04857,0.02352,0.00753,2.26477,5.00962,0.05343,0.0098812,0.0098812,0.0098812
8,425.127,2.24218,3.35183,0.03403,0.30341,0.16053,0.06385,0.01979,2.24562,5.68829,0.05344,0.0098614,0.0098614,0.0098614
9,492.627,2.09694,3.05328,0.03079,0.00358,0.24474,0.01209,0.00394,2.43041,4.20642,0.05472,0.0098416,0.0098416,0.0098416
10,564.715,1.99612,2.86085,0.02849,0.34326,0.19538,0.08988,0.03235,2.11044,3.85389,0.04912,0.0098218,0.0098218,0.0098218
11,634.482,1.89789,2.68397,0.02628,0.32442,0.16119,0.09461,0.04097,1.95828,5.08522,0.04427,0.009802,0.009802,0.009802
12,701.203,1.85695,2.55593,0.02601,0.37267,0.22563,0.19022,0.08893,1.74883,2.79926,0.04123,0.0097822,0.0097822,0.0097822
13,776.137,1.73797,2.36788,0.02393,0.43185,0.21695,0.1653,0.08133,1.72328,2.79674,0.03787,0.0097624,0.0097624,0.0097624
14,845.518,1.68854,2.23985,0.02307,0.5114,0.22927,0.26406,0.14319,1.52614,2.35821,0.03351,0.0097426,0.0097426,0.0097426
15,921.972,1.64307,2.20348,0.02275,0.39931,0.31746,0.25616,0.13978,1.66488,2.28643,0.03697,0.0097228,0.0097228,0.0097228
16,993.527,1.62983,2.09721,0.02199,0.58311,0.15713,0.17824,0.09563,1.79545,2.67865,0.0397,0.009703,0.009703,0.009703
17,1060.22,1.58242,2.02739,0.02147,0.45495,0.23534,0.21831,0.11081,1.88314,2.78128,0.04415,0.0096832,0.0096832,0.0096832
18,1132.86,1.54957,1.94393,0.02119,0.51283,0.31043,0.33304,0.19865,1.39703,2.04519,0.03075,0.0096634,0.0096634,0.0096634
19,1198.49,1.52976,1.92595,0.02119,0.50801,0.32359,0.27814,0.14566,1.66979,2.38743,0.0375,0.0096436,0.0096436,0.0096436
20,1274.1,1.51087,1.8289,0.01995,0.55771,0.36693,0.38754,0.2402,1.46063,1.90397,0.03228,0.0096238,0.0096238,0.0096238
21,1343.52,1.50451,1.83142,0.0204,0.60211,0.41259,0.42686,0.25294,1.47654,1.78317,0.03308,0.009604,0.009604,0.009604
22,1410,1.4883,1.77722,0.02015,0.65375,0.3221,0.41134,0.25505,1.51658,1.80066,0.03372,0.0095842,0.0095842,0.0095842
23,1478.11,1.46019,1.71769,0.01955,0.70718,0.33565,0.41229,0.26209,1.41411,1.72569,0.03065,0.0095644,0.0095644,0.0095644
24,1542.13,1.44942,1.69086,0.01903,0.71886,0.38959,0.44059,0.27608,1.31935,1.65262,0.02842,0.0095446,0.0095446,0.0095446
25,1607.79,1.43677,1.61153,0.01956,0.5683,0.55266,0.51463,0.33099,1.3343,1.48168,0.02918,0.0095248,0.0095248,0.0095248
26,1674.68,1.41051,1.61974,0.01861,0.66779,0.4489,0.43917,0.26591,1.37192,1.59445,0.02931,0.009505,0.009505,0.009505
27,1739.21,1.42311,1.58568,0.01857,0.64467,0.48566,0.47484,0.30186,1.35259,1.4756,0.02891,0.0094852,0.0094852,0.0094852
28,1803.15,1.38595,1.56774,0.01862,0.62896,0.49528,0.49619,0.30616,1.48373,1.6388,0.03398,0.0094654,0.0094654,0.0094654
29,1869.34,1.39844,1.52265,0.01857,0.62401,0.4291,0.48129,0.31478,1.27868,1.42252,0.0277,0.0094456,0.0094456,0.0094456
30,1936.72,1.37946,1.51699,0.01799,0.61219,0.43792,0.46398,0.31605,1.25377,1.57793,0.02705,0.0094258,0.0094258,0.0094258
31,2002.99,1.35153,1.45343,0.01779,0.64751,0.46932,0.50359,0.33742,1.213,1.53848,0.02591,0.009406,0.009406,0.009406
32,2066.8,1.34571,1.45709,0.01797,0.66002,0.50502,0.54739,0.38525,1.22827,1.36495,0.02619,0.0093862,0.0093862,0.0093862
