epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5381,3.73886,12.3552,0.05963,1e-05,0.01613,1e-05,0,4.01789,12.7252,0.08008,0.0024,0.0024,0.0784
2,154.878,3.67499,10.3857,0.05726,1e-05,0.01613,1e-05,0,3.96781,12.5971,0.0791,0.0048903,0.0048903,0.0558903
3,226.941,3.66686,9.39378,0.05729,5e-05,0.0623,3e-05,1e-05,3.80779,10.2291,0.07581,0.0073707,0.0073707,0.0333707
4,298.073,3.52744,7.56555,0.05528,5e-05,0.07213,4e-05,1e-05,3.4819,3.50681,0.07041,0.00984119,0.00984119,0.0108412
5,366.703,3.25363,5.45454,0.05165,0.00198,0.08088,0.00129,0.00036,2.83078,3.96653,0.05781,0.0099208,0.0099208,0.0099208
6,433.186,2.98623,4.55239,0.04784,0,0,0,0,nan,nan,nan,0.009901,0.009901,0.009901
7,498.744,2.757,4.0731,0.04421,0.20242,0.00351,0.00022,4e-05,3.06388,9.55071,0.06944,0.0098812,0.0098812,0.0098812
8,571.294,2.53332,3.88138,0.03973,0.41033,0.01736,0.00362,0.00093,nan,nan,nan,0.0098614,0.0098614,0.0098614
9,641.551,2.40415,3.60563,0.03731,0.22083,0.19982,0.01318,0.00355,2.4636,11.2041,0.04943,0.0098416,0.0098416,0.0098416
10,710.226,2.29249,3.33535,0.03432,0.26166,0.12397,0.04149,0.01206,2.29501,4.10391,0.04471,0.0098218,0.0098218,0.0098218
11,776.579,2.13616,3.10068,0.03145,0.35038,0.22551,0.12381,0.04586,2.07879,3.27819,0.03888,0.009802,0.009802,0.009802
12,843.069,2.00668,2.86318,0.02952,0.35035,0.20801,0.14331,0.06131,1.94989,2.9134,0.03678,0.0097822,0.0097822,0.0097822
13,913.187,1.94481,2.68724,0.02785,0.39836,0.28129,0.16518,0.0753,1.86942,3.00315,0.03694,0.0097624,0.0097624,0.0097624
14,988.005,1.88191,2.57061,0.02637,0.40058,0.22831,0.1735,0.08618,1.88753,2.87067,0.03599,0.0097426,0.0097426,0.0097426
15,1055.77,1.82958,2.46862,0.02591,0.42317,0.2067,0.18809,0.09181,1.82155,2.83815,0.03494,0.0097228,0.0097228,0.0097228
16,1123.98,1.76538,2.35401,0.02471,0.44972,0.2885,0.22296,0.10327,1.74403,2.50858,0.03331,0.009703,0.009703,0.009703
17,1190.76,1.70896,2.23372,0.02418,0.42841,0.28102,0.21036,0.11066,1.833,2.37205,0.03541,0.0096832,0.0096832,0.0096832
18,1258.91,1.72113,2.18102,0.02401,0.42967,0.26095,0.20022,0.10395,1.78012,2.55695,0.03358,0.0096634,0.0096634,0.0096634
19,1330.13,1.66033,2.12249,0.0231,0.44472,0.32382,0.26286,0.14603,1.59765,2.22971,0.02931,0.0096436,0.0096436,0.0096436
20,1398.38,1.62903,2.05945,0.02227,0.4206,0.16774,0.19378,0.11152,1.88713,2.99625,0.03628,0.0096238,0.0096238,0.0096238
21,1465.97,1.62541,2.09768,0.0224,0.50494,0.31515,0.2827,0.16189,1.64368,2.13539,0.03053,0.009604,0.009604,0.009604
22,1533.16,1.59591,1.97349,0.02214,0.53764,0.31863,0.29008,0.16134,1.59143,2.04857,0.02974,0.0095842,0.0095842,0.0095842
23,1598.92,1.59921,1.97387,0.02216,0.54536,0.38991,0.34857,0.1919,1.62975,1.86649,0.03031,0.0095644,0.0095644,0.0095644
24,1670.77,1.55652,1.87142,0.02127,0.50317,0.27577,0.24178,0.12875,1.84804,2.75473,0.0381,0.0095446,0.0095446,0.0095446
25,1740.26,1.52313,1.87966,0.02067,0.59896,0.2755,0.30094,0.17802,1.56117,2.12749,0.02946,0.0095248,0.0095248,0.0095248
26,1809.09,1.51767,1.85544,0.02054,0.48597,0.30872,0.28093,0.16155,1.56687,2.08005,0.02884,0.009505,0.009505,0.009505
27,1876.86,1.51533,1.84274,0.02067,0.55644,0.36957,0.34236,0.20771,1.44105,1.78072,0.02636,0.0094852,0.0094852,0.0094852
28,1944.03,1.49694,1.76445,0.0207,0.50364,0.33996,0.31518,0.19137,1.50157,1.96777,0.0289,0.0094654,0.0094654,0.0094654
29,2016.78,1.51342,1.77231,0.02067,0.59215,0.33772,0.35095,0.22398,1.39455,1.81617,0.02592,0.0094456,0.0094456,0.0094456
30,2089.59,1.49853,1.74069,0.02016,0.53982,0.31944,0.30044,0.18302,1.61587,2.06657,0.03189,0.0094258,0.0094258,0.0094258
31,2158.77,1.47408,1.71837,0.02018,0.50178,0.17843,0.1977,0.10036,2.00508,3.15562,0.0428,0.009406,0.009406,0.009406
32,2226.91,1.47261,1.70275,0.01995,0.573,0.33121,0.32702,0.19707,1.50418,1.92728,0.02818,0.0093862,0.0093862,0.0093862
33,2293.08,1.45326,1.6258,0.01994,0.578,0.40768,0.38781,0.23721,1.52588,1.90602,0.03019,0.0093664,0.0093664,0.0093664
34,2364.78,1.46603,1.60491,0.01985,0.6886,0.30419,0.39955,0.2526,1.43762,1.94996,0.02767,0.0093466,0.0093466,0.0093466
35,2437,1.48057,1.64575,0.02024,0.51966,0.40531,0.34671,0.20971,1.48932,1.83848,0.0275,0.0093268,0.0093268,0.0093268
36,2506.6,1.44053,1.6195,0.01941,0.6027,0.36563,0.37855,0.23582,1.56216,1.79772,0.03025,0.009307,0.009307,0.009307
37,2551.16,1.41899,1.57851,0.01925,0.51854,0.36934,0.3254,0.17631,1.8839,2.02344,0.03707,0.0092872,0.0092872,0.0092872
38,2587.03,1.42678,1.57267,0.01946,0.6198,0.36254,0.35913,0.22935,1.4305,1.86752,0.02782,0.0092674,0.0092674,0.0092674
39,2622.84,1.41106,1.55914,0.01889,0.5847,0.44929,0.42346,0.27328,1.42223,1.6241,0.02611,0.0092476,0.0092476,0.0092476
40,2658.66,1.4105,1.5699,0.01895,0.63087,0.36912,0.38004,0.24783,1.44881,1.69907,0.02684,0.0092278,0.0092278,0.0092278
41,2694.66,1.37886,1.54012,0.01773,0.57792,0.3494,0.35138,0.2181,1.52576,1.89597,0.02896,0.009208,0.009208,0.009208
42,2730.28,1.40617,1.51387,0.01863,0.73629,0.37574,0.41842,0.26754,1.46859,1.75748,0.02792,0.0091882,0.0091882,0.0091882
43,2766.13,1.38728,1.49276,0.01838,0.55592,0.33252,0.27948,0.16838,1.64383,2.37976,0.03179,0.0091684,0.0091684,0.0091684
44,2801.75,1.38856,1.48186,0.01867,0.66088,0.38743,0.39941,0.25506,1.33759,1.71828,0.02516,0.0091486,0.0091486,0.0091486
45,2837.35,1.40155,1.48679,0.01878,0.61643,0.42388,0.43109,0.29223,1.35479,1.54709,0.02458,0.0091288,0.0091288,0.0091288
46,2873.22,1.35981,1.46416,0.01807,0.57229,0.45444,0.43539,0.25143,1.38216,1.63665,0.02548,0.009109,0.009109,0.009109
47,2908.87,1.36744,1.46675,0.01836,0.5523,0.40047,0.36755,0.21349,1.53465,1.74488,0.0301,0.0090892,0.0090892,0.0090892
48,2944.91,1.37004,1.42554,0.01781,0.66896,0.3856,0.43387,0.27714,1.37042,1.63646,0.02619,0.0090694,0.0090694,0.0090694
49,2980.51,1.33631,1.40328,0.01777,0.61179,0.434,0.41816,0.26984,1.36125,1.54817,0.02583,0.0090496,0.0090496,0.0090496
50,3015.97,1.37744,1.44149,0.0187,0.57975,0.43201,0.40162,0.25096,1.42694,1.54101,0.027,0.0090298,0.0090298,0.0090298
51,3052.02,1.35895,1.43997,0.01825,0.66133,0.42586,0.4439,0.28413,1.40944,1.52172,0.02549,0.00901,0.00901,0.00901
52,3087.58,1.3516,1.40178,0.01805,0.66364,0.42197,0.45101,0.29323,1.41037,1.54406,0.02695,0.0089902,0.0089902,0.0089902
53,3123.2,1.36342,1.38691,0.01783,0.68287,0.36414,0.43777,0.2647,1.56706,1.67366,0.02934,0.0089704,0.0089704,0.0089704
54,3158.72,1.35202,1.37551,0.01809,0.59605,0.40916,0.41134,0.26766,1.46066,1.63388,0.02788,0.0089506,0.0089506,0.0089506
55,3194.63,1.34734,1.37052,0.01835,0.58506,0.42713,0.41702,0.24911,1.5914,1.61453,0.03059,0.0089308,0.0089308,0.0089308
56,3230.45,1.32291,1.34016,0.01757,0.65073,0.44663,0.45953,0.30654,1.34197,1.57142,0.02575,0.008911,0.008911,0.008911
57,3266.05,1.29702,1.35892,0.01755,0.64163,0.44104,0.4539,0.29835,1.31878,1.6156,0.02418,0.0088912,0.0088912,0.0088912
58,3301.73,1.29212,1.32397,0.01685,0.67263,0.43674,0.45294,0.29612,1.38782,1.56213,0.02575,0.0088714,0.0088714,0.0088714
59,3337.61,1.29814,1.31476,0.01731,0.65713,0.44912,0.48112,0.3132,1.31964,1.41255,0.02484,0.0088516,0.0088516,0.0088516
