epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1594.2,1.2802,1.32661,0.01679,0.80029,0.54225,0.6388,0.46478,1.12742,1.14242,0.02325,0.0091684,0.0091684,0.0091684
44,1630.8,1.28897,1.30195,0.01697,0.75867,0.51531,0.62928,0.43092,1.18688,1.16872,0.02446,0.0091486,0.0091486,0.0091486
45,1667.65,1.28844,1.2419,0.0166,0.76531,0.498,0.61259,0.43548,1.1441,1.19203,0.02408,0.0091288,0.0091288,0.0091288
46,1704.53,1.27391,1.27689,0.01671,0.7968,0.52461,0.63374,0.42864,1.19702,1.29039,0.02656,0.009109,0.009109,0.009109
47,1741.27,1.26722,1.27113,0.01655,0.47487,0.54905,0.53013,0.36174,1.29299,1.50722,0.02898,0.0090892,0.0090892,0.0090892
48,1778.15,1.24154,1.22188,0.01602,0.72924,0.54688,0.59203,0.39097,1.2289,1.22036,0.02635,0.0090694,0.0090694,0.0090694
49,1814.96,1.27464,1.24626,0.01694,0.76865,0.47656,0.61119,0.39975,1.22699,1.43338,0.02572,0.0090496,0.0090496,0.0090496
50,1851.92,1.26002,1.23565,0.01657,0.78294,0.4852,0.59379,0.42199,1.08956,1.17064,0.02199,0.0090298,0.0090298,0.0090298
51,1888.87,1.22726,1.19849,0.01617,0.61003,0.65383,0.70527,0.4871,1.12384,1.11682,0.02385,0.00901,0.00901,0.00901
52,1925.37,1.24234,1.19697,0.0162,0.74654,0.55021,0.63164,0.45531,1.114,1.11202,0.02336,0.0089902,0.0089902,0.0089902
53,1962,1.24129,1.22019,0.01621,0.86514,0.53467,0.65417,0.46596,1.13585,1.00913,0.02396,0.0089704,0.0089704,0.0089704
54,1998.71,1.21638,1.17223,0.01607,0.81292,0.54209,0.69092,0.49726,1.09417,1.15628,0.02264,0.0089506,0.0089506,0.0089506
55,2035.81,1.23728,1.15485,0.01588,0.81006,0.54356,0.67447,0.47285,1.13998,1.06249,0.02425,0.0089308,0.0089308,0.0089308
56,2072.82,1.24563,1.19098,0.01586,0.81641,0.56232,0.65305,0.46068,1.15821,1.12013,0.02393,0.008911,0.008911,0.008911
57,2109.7,1.21141,1.11972,0.01549,0.86414,0.62493,0.78725,0.56173,1.14028,0.87106,0.02391,0.0088912,0.0088912,0.0088912
58,2146.46,1.20968,1.16096,0.01551,0.80862,0.51317,0.64047,0.44465,1.16661,1.14393,0.02464,0.0088714,0.0088714,0.0088714
59,2183.29,1.20823,1.12024,0.01552,0.65895,0.65222,0.693,0.50355,1.10907,1.07128,0.02321,0.0088516,0.0088516,0.0088516
60,2219.96,1.21571,1.13184,0.01587,0.81029,0.54883,0.67745,0.47124,1.19039,1.07564,0.0257,0.0088318,0.0088318,0.0088318
61,2256.81,1.19921,1.10126,0.01529,0.80763,0.59537,0.68745,0.49505,1.06401,1.01806,0.02215,0.008812,0.008812,0.008812
