epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0915,3.55301,10.0452,0.05825,0.00072,0.00556,0.00031,7e-05,3.8702,108.636,0.09775,0.00332538,0.00332538,0.0700716
2,104.367,3.57083,9.88268,0.05882,0.00024,0.07042,0.00014,3e-05,3.80166,557.765,0.0964,0.00663674,0.00663674,0.0400496
3,138.794,3.55425,9.81202,0.05873,0.00578,0.01295,0.00278,0.00106,3.5865,247.975,0.09415,0.0099261,0.0099261,0.0100057
4,173.116,3.2883,8.25699,0.05476,0.00182,0.44702,0.00291,0.00064,3.03777,5.7537,0.07853,0.009901,0.009901,0.009901
5,207.272,2.95383,5.7923,0.04974,0.61977,0.06031,0.01891,0.00381,2.51375,3.57895,0.06208,0.009868,0.009868,0.009868
6,241.242,2.72077,4.37006,0.04448,0.66964,0.07798,0.07294,0.02853,2.36919,3.15112,0.05622,0.009835,0.009835,0.009835
7,275.372,2.48653,3.72435,0.03873,0.5131,0.13839,0.07176,0.03127,2.01234,3.11057,0.04761,0.009802,0.009802,0.009802
8,309.64,2.32885,3.44417,0.03577,0.30368,0.10112,0.07158,0.02386,2.22119,3.16221,0.05291,0.009769,0.009769,0.009769
9,343.848,2.13393,3.17333,0.03195,0.37685,0.2411,0.1392,0.06338,1.84663,2.79049,0.04407,0.009736,0.009736,0.009736
10,378.418,1.9542,2.92916,0.02921,0.42643,0.21609,0.14851,0.07387,1.81632,2.88995,0.04267,0.009703,0.009703,0.009703
11,412.822,1.88083,2.75117,0.02719,0.35037,0.2672,0.18127,0.10034,1.57693,2.52344,0.036,0.00967,0.00967,0.00967
12,447.146,1.78056,2.56954,0.02497,0.41219,0.28822,0.22055,0.12089,1.61054,2.34811,0.03708,0.009637,0.009637,0.009637
13,481.205,1.74416,2.40004,0.02482,0.4802,0.36077,0.29661,0.17263,1.52333,2.08047,0.03453,0.009604,0.009604,0.009604
14,515.511,1.67477,2.31156,0.02354,0.44703,0.31551,0.2515,0.14535,1.51517,2.25835,0.03289,0.009571,0.009571,0.009571
15,549.831,1.65672,2.23607,0.02326,0.45564,0.36277,0.30467,0.18622,1.50331,2.09764,0.03483,0.009538,0.009538,0.009538
16,583.971,1.62502,2.10972,0.02325,0.58128,0.4034,0.40784,0.23487,1.42802,1.85178,0.03172,0.009505,0.009505,0.009505
